Id,Suburb,Value,Date,NumberOfBedrooms,Type
171,Elderslie,2097,29/03/2023,4,house
172,Cottage Point,883,17/05/2023,1,unit
173,St Ives Chase,1752,21/08/2024,4,house
174,Fairfield,1203,27/05/2024,5,house
175,Manly,784,27/10/2023,5,house
176,Oatley,1384,26/12/2023,4,house
177,Prairiewood,2236,14/05/2024,3,house
178,North Rocks,933,22/05/2024,2,house
179,Belmore,1074,19/08/2023,4,unit
180,North Ryde,1498,07/03/2023,2,house
181,Northbridge,939,07/04/2023,2,house
182,North Rocks,646,02/02/2024,5,unit
183,Cremorne Point,1062,01/08/2023,2,house
184,Rosemeadow,1321,14/09/2024,5,house
185,North Narrabeen,1773,29/08/2024,2,house
186,Berkshire Park,1067,16/05/2023,1,unit
187,Clyde,1155,10/10/2024,2,unit
188,Revesby,1191,06/09/2024,3,house
189,Smithfield,1912,10/02/2024,5,house
190,Bow Bowing,729,18/04/2023,2,unit
191,Picnic Point,759,18/12/2023,3,house
192,Granville,850,01/04/2024,3,house
193,South Maroota,2149,06/01/2024,5,house
194,Bonnet Bay,2034,05/04/2024,3,house
195,Curl Curl,1435,08/04/2024,2,house
196,Wareemba,2166,16/08/2023,2,house
197,Kingswood,1428,18/04/2024,3,unit
198,Leichhardt,700,07/02/2023,1,unit
199,Dee Why,1249,02/06/2024,2,unit
200,Wheeler Heights,2121,08/08/2024,4,house
201,Bonnyrigg Heights,930,23/04/2023,4,house
202,Artarmon,1423,08/12/2023,4,unit
203,Dangar Island,983,12/05/2023,4,unit
204,Prospect,1914,18/10/2023,2,house
205,Edgecliff,1137,30/10/2023,2,house
206,Wakeley,993,29/07/2024,5,unit
207,Elderslie,978,14/12/2023,2,house
208,Kogarah Bay,1079,10/05/2023,4,unit
209,Leumeah,981,23/10/2023,2,unit
210,Doonside,1767,14/08/2024,2,house
211,Croydon Park,614,28/07/2023,5,unit
212,Mona Vale,1987,16/01/2024,2,house
213,Bellevue Hill,2130,15/01/2024,3,house
214,Connells Point,2131,29/12/2023,4,house
215,West Pennant Hills,763,19/10/2024,5,house
216,Greystanes,1450,10/07/2024,1,house
217,Sutherland,1095,24/03/2024,5,unit
218,Macquarie Links,1073,26/09/2023,5,unit
219,Mortlake,1776,14/01/2023,5,house
220,Cecil Hills,2121,04/07/2023,3,house
221,Milsons Passage,981,15/03/2023,3,unit
222,Summer Hill,1268,13/01/2024,2,unit
223,Bonnyrigg Heights,794,29/04/2023,1,unit
224,Five Dock,554,20/05/2024,4,unit
225,Elizabeth Hills,972,29/04/2024,2,unit
226,Villawood,1450,28/06/2023,2,unit
227,Baulkham Hills,1316,06/10/2024,3,unit
228,Prospect,1911,28/02/2023,4,house
229,Mount Lewis,613,10/05/2023,3,unit
230,Milsons Passage,654,28/03/2024,4,unit
231,Heathcote,2226,29/01/2023,2,house
232,Alfords Point,724,08/06/2023,4,unit
233,McGraths Hill,919,16/07/2023,3,house
234,Dolls Point,1456,11/01/2024,2,unit
235,Dee Why,608,30/05/2024,1,unit
236,Eastern Creek,875,10/04/2024,2,unit
237,Hobartville,1881,14/03/2023,4,house
238,Hunters Hill,693,31/12/2023,2,unit
239,Frenchs Forest,1738,11/08/2023,3,house
240,Stanmore,909,04/05/2024,5,house
241,Melrose Park,2158,16/03/2023,4,house
242,Pitt Town,1983,16/02/2023,4,house
243,Willmot,769,25/10/2023,3,house
244,Cottage Point,680,01/06/2023,5,unit
245,Kirribilli,2001,19/09/2023,5,house
246,Oyster Bay,821,06/01/2023,3,unit
247,Spring Farm,1518,03/07/2024,1,house
248,Denham Court,840,02/09/2023,4,house
249,Airds,891,10/05/2023,3,unit
250,Cromer,621,04/02/2024,2,unit
251,Gregory Hills,554,15/08/2024,2,unit
252,Miranda,1092,11/04/2023,3,unit
253,Liverpool,984,28/05/2023,2,unit
254,Summer Hill,1617,10/07/2023,4,house
255,Maraylya,1471,03/01/2023,4,house
256,Caringbah,538,05/05/2024,2,unit
257,Potts Hill,1069,14/10/2023,2,unit
258,Blackett,1866,23/09/2023,5,house
259,North Rocks,938,13/12/2023,1,unit
260,Rydalmere,1272,28/06/2023,2,unit
261,Dover Heights,780,12/02/2024,4,unit
262,South Penrith,916,23/05/2023,4,house
263,Smithfield,970,20/04/2023,3,house
264,Gilead,1081,20/06/2024,3,house
265,Padstow,1647,28/05/2024,2,house
266,Pleasure Point,781,19/08/2024,2,house
267,Hornsby Heights,1494,25/01/2023,1,house
268,South Wentworthville,1122,24/01/2024,1,house
269,Heathcote,1251,26/08/2023,3,unit
270,Newtown,1114,30/06/2024,3,house
271,Kareela,1260,12/03/2023,5,unit
272,South Maroota,1716,06/05/2023,4,house
273,Bringelly,1042,21/12/2023,2,unit
274,Caringbah,805,08/02/2023,2,unit
275,Mount Annan,1735,27/08/2023,4,house
276,Lane Cove West,1210,22/01/2023,4,unit
277,South Penrith,1279,03/05/2024,1,house
278,Chifley,1114,26/06/2024,2,house
279,Yagoona,1041,12/02/2024,5,unit
280,Kellyville Ridge,1105,06/07/2024,5,house
281,Shanes Park,2037,27/08/2023,3,house
282,Mascot,621,17/03/2024,2,unit
283,Plumpton,789,24/10/2023,1,unit
284,Banksia,724,04/10/2023,1,unit
285,Hunters Hill,2061,15/01/2023,2,house
286,Horsley Park,2104,02/02/2024,3,house
287,Peakhurst,1376,04/02/2023,5,unit
288,West Ryde,842,02/05/2024,3,unit
289,Marsden Park,1138,31/01/2024,2,unit
290,Currawong Beach,805,23/08/2024,3,unit
291,Clontarf,1050,20/09/2023,3,house
292,Maroota,1427,22/03/2024,3,unit
293,Riverwood,1555,04/10/2024,4,house
294,Londonderry,1989,14/08/2023,1,house
295,Rossmore,1027,01/08/2023,4,unit
296,Dharruk,2055,23/01/2023,4,house
297,Burraneer,1131,28/07/2024,2,unit
298,Burwood Heights,1536,18/03/2023,3,house
299,Fairfield,621,05/05/2023,2,unit
300,Clovelly,674,17/03/2024,5,unit
301,Carlingford,951,02/05/2023,4,unit
302,Petersham,1095,25/03/2023,2,unit
303,Lalor Park,1888,11/01/2024,3,house
304,Riverstone,948,10/06/2023,3,house
305,Carnes Hill,1279,27/03/2024,4,house
306,Surry Hills,1438,27/09/2023,4,unit
307,Monterey,855,20/08/2024,1,unit
308,North Willoughby,1129,15/06/2024,5,unit
309,Bardwell Valley,1015,24/03/2024,4,unit
310,Annandale,1153,16/04/2024,2,unit
311,Glenwood,1482,02/07/2024,4,unit
312,Claremont Meadows,952,04/03/2023,3,house
313,Haberfield,1013,18/01/2023,2,unit
314,Kirribilli,1894,27/04/2023,4,house
315,Eschol Park,1455,16/09/2023,4,unit
316,Woronora Heights,2221,27/10/2024,5,house
317,Clontarf,1362,19/09/2024,5,unit
318,Bondi Beach,1172,24/12/2023,1,unit
319,Bankstown Aerodrome,882,28/07/2024,4,house
320,Lilli Pilli,1584,23/04/2023,4,house
321,Terrey Hills,1415,12/04/2024,5,unit
322,North Rocks,945,26/05/2023,2,house
323,Mascot,1824,19/09/2024,2,house
324,Bonnyrigg Heights,798,17/04/2024,2,unit
325,North Bondi,1282,22/10/2024,4,house
326,Sans Souci,532,24/09/2023,2,unit
327,Laughtondale,823,12/07/2023,4,unit
328,Greenhills Beach,684,19/04/2023,2,unit
329,Regentville,1390,03/12/2023,2,house
330,Castlereagh,1116,01/06/2023,3,house
331,Lilyfield,833,11/12/2023,2,unit
332,Wattle Grove,1421,01/07/2023,2,unit
333,Kurnell,667,12/07/2024,3,unit
334,Monterey,1345,16/06/2023,1,unit
335,Strathfield South,1171,09/04/2023,5,house
336,Woolooware,1093,24/10/2024,2,unit
337,Ashcroft,2017,03/01/2023,2,house
338,Claymore,1150,25/03/2023,5,unit
339,Brookvale,936,10/12/2023,4,unit
340,Haymarket,690,17/01/2024,2,unit
341,Wattle Grove,1263,22/10/2023,2,house
342,Dee Why,1897,05/01/2023,4,house
343,Kingsford,813,15/11/2023,2,unit
344,Shalvey,1375,08/10/2023,4,unit
345,Eastlakes,2193,21/05/2024,3,house
346,Bexley North,1184,17/04/2023,2,unit
347,North Balgowlah,1034,28/08/2024,4,unit
348,Glenwood,671,08/08/2024,4,unit
349,Bellevue Hill,1369,02/03/2023,2,house
350,Camperdown,762,25/07/2023,1,unit
351,Emerton,2233,04/10/2024,4,house
352,Birrong,1147,13/09/2024,2,unit
353,Claremont Meadows,750,30/06/2024,3,unit
354,Willoughby East,1340,16/08/2023,4,unit
355,Lurnea,744,23/06/2023,3,unit
356,Port Botany,1107,08/03/2023,2,house
357,Marayong,707,15/08/2023,2,unit
358,Bossley Park,1399,27/01/2024,5,house
359,Lugarno,1681,20/11/2023,5,house
360,Lane Cove West,517,22/04/2024,5,unit
361,Greendale,553,09/04/2023,4,unit
362,Glenhaven,1261,10/08/2024,5,unit
363,Killara,1435,22/10/2024,4,unit
364,Brighton-Le-Sands,1230,16/09/2024,4,unit
365,Greenfield Park,1581,09/02/2023,4,house
366,Caringbah South,740,11/10/2024,2,unit
367,Glenmore Park,1117,08/10/2023,3,house
368,Kirrawee,1369,10/12/2023,4,house
369,Roseville Chase,1951,28/11/2023,2,house
370,Smeaton Grange,1060,27/02/2024,2,house
371,Yagoona,554,24/01/2023,2,unit
372,Kirrawee,1197,11/07/2023,5,house
373,Kurnell,1603,28/06/2024,3,house
374,Blackett,2077,28/01/2023,2,house
375,Haymarket,788,01/01/2024,1,unit
376,Marayong,1100,19/01/2023,2,unit
377,Old Guildford,1056,16/04/2024,5,house
378,Northmead,1269,15/02/2023,4,house
379,Gledswood Hills,1051,16/07/2023,4,house
380,Northmead,2247,09/07/2023,5,house
381,Kareela,850,03/05/2023,1,house
382,Peakhurst Heights,1404,01/05/2024,4,house
383,Lidcombe,1914,14/12/2023,4,house
384,Ashfield,1185,21/06/2024,5,unit
385,Grays Point,521,14/09/2024,3,unit
386,Artarmon,2017,04/04/2023,4,house
387,Ashbury,958,11/06/2024,3,unit
388,Waterloo,1111,24/10/2023,3,unit
389,Croydon Park,1347,26/05/2023,4,house
390,Westleigh,910,02/03/2024,5,unit
391,Baulkham Hills,1339,04/08/2024,1,house
392,South Hurstville,722,03/09/2024,3,unit
393,Glendenning,680,10/04/2024,2,unit
394,Greenfield Park,1465,29/09/2024,2,unit
395,Darlinghurst,983,06/10/2023,4,unit
396,Blakehurst,1882,19/05/2023,5,house
397,Kings Langley,781,23/06/2024,5,unit
398,Rosehill,2193,25/01/2023,2,house
399,Regentville,753,05/05/2023,1,unit
400,Maroota,2077,08/09/2023,2,house
401,Glenmore Park,1132,26/12/2023,1,unit
402,Cattai,1016,01/04/2024,1,unit
403,Dangar Island,1121,15/01/2023,3,unit
404,Taren Point,580,09/03/2024,3,unit
405,Cronulla,1125,12/02/2024,3,unit
406,Cronulla,2218,25/01/2023,1,house
407,Linley Point,928,23/02/2023,3,unit
408,Pennant Hills,1354,24/08/2023,1,house
409,Wakeley,1442,31/03/2024,4,unit
410,Mona Vale,866,30/08/2023,4,unit
411,Marsfield,1680,28/01/2023,3,house
412,Petersham,1215,03/02/2023,4,unit
413,Pagewood,1668,26/08/2023,4,house
414,The Ponds,1074,10/08/2023,4,house
415,Condell Park,1483,22/04/2023,2,unit
416,Beaconsfield,1011,02/06/2024,1,unit
417,Oatley,1437,25/10/2024,3,unit
418,Woollahra,946,14/07/2024,4,unit
419,Guildford West,1582,29/05/2024,3,house
420,Ingleside,853,14/11/2023,1,unit
421,Balmain,1788,29/12/2023,3,house
422,Penshurst,1031,30/05/2024,1,unit
423,Rockdale,1291,03/11/2023,2,unit
424,Cremorne,1314,04/05/2024,1,unit
425,Thornleigh,2223,12/10/2024,3,house
426,Rozelle,1010,18/04/2023,3,unit
427,Waverton,856,26/01/2023,2,house
428,Burwood Heights,1260,17/09/2024,2,unit
429,Wisemans Ferry,1373,04/02/2023,2,unit
430,Rushcutters Bay,1476,13/10/2024,2,house
431,Kareela,1265,28/02/2023,2,unit
432,Wollstonecraft,966,12/08/2023,3,unit
433,Rodd Point,566,23/06/2023,2,unit
434,Russell Lea,1191,18/10/2023,3,house
435,Bligh Park,1372,28/02/2023,1,house
436,Marayong,1194,07/09/2023,3,unit
437,Zetland,1413,30/04/2024,2,house
438,Ramsgate,1486,14/09/2023,4,unit
439,Kyle Bay,1635,01/09/2024,2,house
440,Jordan Springs,1909,14/02/2023,2,house
441,Gregory Hills,1875,16/05/2023,2,house
442,Lethbridge Park,1981,15/09/2023,3,house
443,Connells Point,1277,30/01/2023,4,unit
444,Edensor Park,779,08/05/2024,4,unit
445,South Hurstville,851,15/09/2024,3,unit
446,Georges Hall,772,24/09/2024,1,unit
447,Georges Hall,1848,17/12/2023,2,house
448,Heathcote,1693,26/03/2023,3,house
449,Hobartville,1420,08/10/2024,5,unit
450,Kingsgrove,1296,15/01/2023,4,house
451,Minto,1854,09/02/2023,2,house
452,Picnic Point,640,16/09/2023,4,unit
453,North Parramatta,1261,03/08/2023,2,unit
454,East Killara,1900,15/10/2023,4,house
455,Middleton Grange,1348,04/09/2024,3,unit
456,Erskineville,835,26/09/2023,4,house
457,Five Dock,1359,25/10/2023,1,unit
458,Malabar,833,09/05/2023,3,unit
459,Mona Vale,890,08/01/2023,1,unit
460,Rosemeadow,1481,23/05/2023,2,unit
461,North Kellyville,2029,02/08/2024,3,house
462,Oatlands,1749,08/04/2023,4,house
463,South Coogee,543,22/05/2024,3,unit
464,North Bondi,553,09/08/2023,4,unit
465,Heckenberg,1887,20/02/2023,5,house
466,Caddens,1458,02/08/2023,4,unit
467,Loftus,976,29/12/2023,3,house
468,Currawong Beach,972,09/08/2023,3,unit
469,Waverley,591,14/08/2024,3,unit
470,Casula,1159,13/03/2023,1,house
471,Tennyson Point,1067,25/03/2023,1,unit
472,Roseville,1672,19/08/2024,3,house
473,Enmore,704,14/05/2023,2,unit
474,Ashfield,964,29/07/2023,1,unit
475,Burraneer,1263,22/11/2023,4,unit
476,Clontarf,874,17/09/2023,5,house
477,Panania,1041,28/01/2024,3,unit
478,Banksmeadow,2095,22/07/2023,1,house
479,Greendale,1360,23/08/2024,2,house
480,Double Bay,1996,12/01/2023,2,house
481,Rushcutters Bay,955,25/07/2023,2,house
482,Austral,917,18/04/2023,4,unit
483,Lugarno,1485,20/08/2023,3,house
484,Clemton Park,1864,01/12/2023,3,house
485,Woolloomooloo,2155,11/02/2024,3,house
486,Cherrybrook,1138,25/04/2024,2,unit
487,Kensington,1908,17/05/2023,4,house
488,Clovelly,1845,11/10/2024,4,house
489,Coogee,1356,14/02/2024,2,unit
490,Paddington,876,12/10/2023,2,house
491,Ruse,706,11/09/2023,3,unit
492,Castle Hill,637,10/08/2023,1,unit
493,Dharruk,1639,24/04/2024,2,house
494,Middle Cove,802,20/02/2023,4,house
495,Vineyard,1687,08/08/2024,5,house
496,Sylvania,1101,25/03/2024,4,unit
497,Harrington Park,1136,15/02/2024,2,unit
498,Canley Vale,1570,01/02/2024,2,house
499,Waverley,1777,25/12/2023,2,house
500,Ryde,832,12/04/2023,4,house
501,Abbotsbury,1236,23/02/2023,1,unit
502,Chipping Norton,744,16/07/2023,1,unit
503,Beecroft,1065,03/04/2024,4,house
504,Sylvania,2113,01/01/2024,1,house
505,Peakhurst,1191,26/12/2023,5,house
506,Woolloomooloo,1115,30/08/2024,1,unit
507,Smithfield,2155,13/11/2023,1,house
508,Gilead,1203,24/12/2023,5,house
509,Wisemans Ferry,1339,04/03/2023,4,unit
510,Wentworthville,771,31/07/2023,1,house
511,Barden Ridge,1006,05/06/2024,3,unit
512,Kogarah,2085,22/07/2024,4,house
513,Carnes Hill,803,25/02/2024,3,unit
514,Denistone East,1094,31/10/2023,4,unit
515,Silverwater,1259,06/04/2024,3,unit
516,Frenchs Forest,1237,08/03/2024,3,house
517,Blacktown,718,25/05/2023,3,unit
518,Beverley Park,884,03/07/2024,4,unit
519,Milsons Point,1348,25/06/2023,4,unit
520,Gregory Hills,740,29/11/2023,4,unit
521,Dundas,1560,09/05/2024,2,house
522,Ultimo,916,15/07/2023,4,unit
523,La Perouse,831,02/09/2023,3,unit
524,Malabar,632,07/02/2023,2,unit
525,St Helens Park,1285,14/01/2023,2,house
526,Bundeena,1453,13/02/2023,3,unit
527,Sutherland,2050,24/11/2023,2,house
528,Mortlake,1947,17/01/2023,3,house
529,Lansvale,1060,11/06/2023,3,house
530,Lovett Bay,1735,29/06/2024,2,house
531,Leumeah,1587,07/04/2023,4,house
532,Zetland,1176,20/10/2024,1,unit
533,Earlwood,1110,03/03/2023,5,unit
534,Revesby Heights,1385,16/05/2024,1,unit
535,Colebee,1226,06/06/2024,4,unit
536,Smithfield,1020,26/11/2023,4,house
537,Woollahra,1313,07/06/2023,2,unit
538,Mortlake,1549,18/06/2023,2,house
539,Burwood,1375,21/10/2024,2,unit
540,Turramurra,754,23/11/2023,5,house
541,Macquarie Links,1173,05/07/2023,4,unit
542,Castle Hill,1488,21/09/2024,2,unit
543,Westleigh,1151,13/09/2024,5,unit
544,Centennial Park,1872,15/04/2024,4,house
545,Manly Vale,1029,19/05/2024,2,unit
546,Wiley Park,742,28/02/2023,5,unit
547,Duffys Forest,1258,02/07/2024,3,house
548,Forestville,1606,20/05/2023,4,house
549,Monterey,1279,30/03/2024,2,house
550,Galston,822,01/10/2023,2,house
551,Oakhurst,1461,04/02/2023,4,house
552,Kyeemagh,1677,16/02/2024,2,house
553,Merrylands,1180,22/05/2024,5,unit
554,Oakhurst,1851,11/07/2024,1,house
555,Newport,1184,03/12/2023,2,unit
556,Cabarita,1227,28/08/2024,3,unit
557,Hassall Grove,1222,25/01/2023,3,unit
558,Edensor Park,518,15/09/2024,2,unit
559,Wareemba,1253,11/07/2023,3,unit
560,Busby,976,09/10/2024,2,unit
561,Wallacia,1007,27/09/2024,1,unit
562,Enmore,1078,09/06/2023,3,house
563,Waterfall,1470,30/12/2023,4,house
564,Strathfield South,813,19/04/2024,4,house
565,Haymarket,2248,18/11/2023,3,house
566,Lucas Heights,2232,03/07/2023,5,house
567,Canada Bay,1446,19/02/2023,3,house
568,Dangar Island,984,04/08/2024,4,house
569,North Narrabeen,932,20/07/2023,1,unit
570,Jannali,748,19/03/2024,2,unit
571,Manly Vale,1377,31/05/2024,2,house
572,Oran Park,1240,28/11/2023,4,house
573,Bangor,950,01/04/2024,4,unit
574,Point Piper,900,21/02/2023,1,unit
575,Monterey,1612,24/02/2024,3,house
576,Sylvania,1848,20/05/2023,4,house
577,Sackville North,1459,20/11/2023,2,unit
578,Beacon Hill,1093,23/08/2023,4,unit
579,Como,539,20/07/2024,4,unit
580,Condell Park,757,10/06/2024,4,house
581,Killarney Heights,1296,23/08/2024,3,unit
582,Barden Ridge,625,27/03/2024,4,unit
583,Bilgola Plateau,764,12/09/2023,3,unit
584,Lindfield,1320,14/07/2024,1,unit
585,Abbotsford,1752,06/03/2024,3,house
586,Haberfield,1438,24/09/2023,1,unit
587,Caddens,929,22/05/2023,2,unit
588,Darlinghurst,1123,25/05/2023,1,unit
589,Hurlstone Park,1389,28/04/2023,4,unit
590,Dolans Bay,1902,24/03/2023,4,house
591,Glen Alpine,954,29/07/2024,4,unit
592,Leichhardt,518,01/06/2023,1,unit
593,Pymble,1036,17/03/2023,3,house
594,Liverpool,856,06/04/2023,1,house
595,Bradbury,904,15/01/2024,2,unit
596,Bondi Beach,969,12/06/2023,2,house
597,Denistone,1111,29/12/2023,3,house
598,Holsworthy,517,15/01/2024,4,unit
599,Chatswood,502,21/04/2024,4,unit
600,Surry Hills,736,01/01/2024,5,unit
601,Denham Court,1224,12/03/2024,2,unit
602,Huntleys Point,706,29/05/2024,2,unit
603,West Hoxton,966,07/06/2024,3,house
604,Como,2104,22/04/2024,5,house
605,Lalor Park,1603,31/07/2023,2,house
606,Botany,1344,09/03/2023,3,unit
607,Waverton,892,03/01/2023,4,unit
608,Rozelle,2043,14/01/2024,3,house
609,Lewisham,1828,03/11/2023,3,house
610,Baulkham Hills,886,20/10/2024,2,unit
611,St Clair,1076,06/03/2024,1,unit
612,Bardwell Valley,1027,14/03/2023,4,house
613,Linley Point,993,11/01/2023,2,house
614,Huntleys Cove,2121,11/10/2024,4,house
